,BEAN_GPS_LNG,BEAN_GPS_LAT
78,33.7479231,0.6065081
79,33.7479476,0.6065386
80,33.7479183,0.6064985
81,33.7478817,0.6064692
82,33.7477733,0.6064898
83,33.7477805,0.6065402
84,33.7478576,0.6064839
85,33.7479384,0.6064418
86,33.7479166,0.6064565
87,33.7478873,0.6064555
88,33.7478927,0.6064409
89,33.7479309,0.6064975
90,33.7479199,0.6064636
91,33.7477809,0.6064218
92,33.7478194,0.6064475
93,33.7478791,0.606484
94,33.7478741,0.6064534
95,33.7478484,0.6064344
96,33.747983,0.6064131
97,33.74784,0.6064689
98,33.7478309,0.6064975
99,33.7478215,0.6064596
100,33.7478681,0.6064289
101,33.7478671,0.6064826
102,33.7479917,0.6064217
103,33.7479133,0.6064042
104,32.5653641,0.4329338
105,32.5642576,0.4313174
106,32.5662367,0.4329613
107,32.5662693,0.4328946
108,32.5662246,0.4327641
109,32.6218435,0.5331529
110,34.2559753,0.699291
111,34.2561783,0.699794
112,34.2561413,0.6995437
113,32.5678861,0.4342073
114,32.5677791,0.4342988
115,32.5676562,0.4343767
116,32.6218435,0.5331529
117,32.6218435,0.5331529
118,32.2856831,1.5832126
119,32.2717785,1.6030194
120,32.2731656,1.6030215
121,32.9211295,2.2944876
122,32.9209164,2.2944813
123,32.9209715,2.2944898
124,32.9074545,2.2805394
125,32.9211446,2.2944849
126,32.9211344,2.2944044
127,32.9199605,2.2930309
128,32.9202978,2.2937136
129,32.9217548,2.2941403
130,32.9211014,2.2945071
131,32.9211364,2.2945211
132,32.9211201,2.2946435
133,32.9208242,2.2947963
134,33.7479917,0.6063267
135,33.747995,0.6063318
136,33.7479865,0.6063291
137,33.74798,0.6063275
138,33.7479826,0.6063317
139,32.6261934,0.5405023
140,32.6330015,0.5225999
141,33.6315164,1.8036431
142,33.6314362,1.8033436
143,33.6310489,1.8037051
144,33.6311119,1.8038932
145,33.6309717,1.8038673
146,33.6315011,1.8030417
147,33.6314528,1.8032591
148,33.6315031,1.8032928
149,33.6313897,1.803343
150,33.631513,1.8035733
151,33.6314821,1.8035285
152,33.6316131,1.8034971
153,33.6315876,1.8034542
154,33.6314281,1.80339
155,33.6315074,1.8034108
156,33.6314729,1.8033238
157,33.6315744,1.8033597
158,33.6316067,1.8032135
159,33.6315805,1.8031814
160,33.6314634,1.8033439
161,32.9211383333,2.29439
162,32.9212783333,2.294485
163,33.7480702,0.6061916
164,33.7480818,0.6062181
165,33.7480766,0.6062942
166,33.7480617,0.6062947
167,33.7480699,0.6063506
168,33.7480525,0.6063841
169,33.7480207,0.6063608
170,33.7480138,0.6063775
171,33.7480051,0.606291
172,33.7479808,0.6063148
173,33.7479937,0.6063653
174,33.7479943,0.6063554
175,33.7479816,0.6063584
176,33.7479675,0.6063742
177,33.7479792,0.6063817
178,33.7480423,0.6063567
179,33.7479574,0.6064017
180,33.747993,0.6064454
181,33.7480154,0.6064659
182,33.7480181,0.6064522
183,33.7480017,0.6064124
184,33.7479991,0.60641
185,33.7480171,0.6064041
186,33.7480391,0.6064133
187,33.7480417,0.60641
188,33.7480424,0.6064008
189,33.7480257,0.6063866
190,33.7480133,0.6063649
191,33.7479949,0.6063416
192,33.7479883,0.6063542
193,33.7479883,0.6063659
194,33.7479875,0.606375
195,33.7479883,0.6063673
196,33.7479892,0.606355
197,33.7479891,0.6063634
198,33.7479767,0.6063766
199,33.747976,0.6064036
200,33.7479976,0.6064367
201,33.7480091,0.6064627
202,33.7479992,0.6064825
203,33.7479816,0.6064667
204,33.7479851,0.6064675
205,33.7480042,0.6064649
206,33.7479917,0.6064501
207,33.747979,0.6064664
208,33.747831,0.6063684
209,33.7477517,0.6064367
210,33.7478848,0.6064048
211,33.7478597,0.6064064
212,33.7478427,0.6063935
213,33.7478626,0.6064141
214,33.7478952,0.6063983
215,33.7479041,0.6063985
216,33.7478404,0.60646
217,33.7478876,0.6064701
218,33.7478701,0.6064816
219,33.7478875,0.6064692
220,33.7478814,0.60646
221,33.7478591,0.60645
222,33.7478516,0.6064409
223,33.7478441,0.6064332
224,33.7478448,0.6063983
225,33.7477999,0.6064647
226,33.7477909,0.6064591
227,33.7477963,0.6063929
228,33.7478354,0.606393
229,33.7478341,0.6064062
230,33.7478263,0.606415
231,33.7478585,0.6063783
232,33.747796,0.606428
233,33.747781,0.6063752
234,33.7477884,0.606375
235,33.7477783,0.6063235
236,33.7477808,0.6063067
237,33.7479835,0.6063359
238,33.7479605,0.6063505
239,33.7478816,0.6064209
240,33.7479231,0.6064327
241,33.7478336,0.6063776
242,33.74798,0.606286
243,33.7479673,0.6063676
244,33.7479145,0.6063585
245,33.7479715,0.6064365
246,33.7478958,0.6063893
247,33.7478725,0.6063875
248,33.747882,0.6063821
249,33.7478548,0.6063424
250,33.7478851,0.6063567
251,33.7478916,0.6063709
